username,id,label,displayname,verified,created,followersCount,friendsCount,statusesCount,favouritesCount,listedCount,mediaCount,location,protected,profileImageUrl,totalReplyCount,totalRetweetCount,totalLikeCount,totalQuoteCount,totalSource
steve_x,14788268,human,Steve Cross,False,2008-05-15 16:35:31+00:00,6699,2056,18528,1592,154,258,London,False,https://pbs.twimg.com/profile_images/859896815138873345/eQOQl7HP_normal.jpg,113,84,334,12,3
liamlivingston_,3212706501,human,Liam Livingston,False,2015-04-27 12:13:20+00:00,167,304,337,4983,2,0,,False,https://pbs.twimg.com/profile_images/1246949450595131395/9ie5-1hI_normal.jpg,2,6,19,0,2
ImtaBrendan,2496941382,human,Brendan O'Sullivan 🇮🇪🇪🇺,False,2014-05-15 18:58:35+00:00,38798,34744,6770,56380,67,2562,Cork,False,https://pbs.twimg.com/profile_images/467029907466244096/vUSKAQ1I_normal.jpeg,135,407,2958,24,3
nikhilgopal,21920591,human,Nikhil Gopal,False,2009-02-25 21:20:08+00:00,380,1824,6457,787,19,33,"Seattle, Washington",True,https://pbs.twimg.com/profile_images/1432497731558203397/UZD9P7uZ_normal.jpg,0,0,0,0,0
DailyCrossfit1,213809534,human,Tasha M. Hawkins,False,2010-11-09 21:17:38+00:00,1421,1450,205,2,3,11,"Elmsford, NY",False,https://pbs.twimg.com/profile_images/1319660495801110528/hJikVjMc_normal.jpg,0,0,0,0,5
jaybmik,2196860159,human,JB,False,2013-11-26 13:26:49+00:00,2192,4550,11796,7804,5,2690,"Berlin, Germany 🇩🇪",True,https://pbs.twimg.com/profile_images/1591741325505880064/AripqUyX_normal.jpg,0,0,0,0,0
muffet0,1099603759259238400,human,Ryuu09,False,2019-02-24 09:35:40+00:00,7,363,0,85,0,0,,False,https://pbs.twimg.com/profile_images/1219928570497122304/oOAFfnyO_normal.jpg,0,0,0,0,0
ehsunagh,1213172638790512642,human,typing...,False,2020-01-03 18:58:08+00:00,598,597,1189,13327,0,423,Tehran,False,https://pbs.twimg.com/profile_images/1458043826669604864/4Wyh16mS_normal.jpg,40,2,175,0,1
dvdgeisler,177622514,human,David Geisler,False,2010-08-12 16:48:36+00:00,9,104,0,1,0,0,South Germany ,False,https://pbs.twimg.com/profile_images/378800000752052060/64d37936c6f662fb1c5df6c62b6beaa1_normal.jpeg,0,0,0,0,0
sigmalist,10129132,human,sigmalist,False,2007-11-10 16:02:02+00:00,49,770,93,141,0,0,,False,https://pbs.twimg.com/profile_images/1043405103481274368/IBzqojQH_normal.jpg,1,0,4,0,4
Taheri4859,1478784043105894403,human,مَمد,False,2022-01-05 17:42:56+00:00,71,114,6,120,0,2,,False,https://pbs.twimg.com/profile_images/1478798105122385924/5oVTsV-K_normal.jpg,1,0,1,0,1
persiasliu,864305332075364352,bot,🐈‍⬛❤️,False,2017-05-16 02:23:44+00:00,24,117,11209,46114,0,50,,False,https://pbs.twimg.com/profile_images/1513776360434835457/Cj3yGX6z_normal.jpg,40,46,290,4,2
nazlisk2,1293469199554285568,human,Nazli Sila,False,2020-08-12 08:48:21+00:00,25,483,35,53,0,0,somewhere in EU,False,https://pbs.twimg.com/profile_images/1293490401551298560/QEl04bLj_normal.jpg,0,0,0,0,0
DhruvBhargava16,1141322718559666176,human,Dhruv Bhargava,False,2019-06-19 12:31:55+00:00,38,79,41,129,0,0,,False,https://pbs.twimg.com/profile_images/1481732969085960193/azXQMJ4e_normal.jpg,3,0,9,0,2
JudgeJeanine,29458079,human,Jeanine Pirro,True,2009-04-07 14:27:06+00:00,3105827,488,19266,466,6584,5008,"New York, NY",False,https://pbs.twimg.com/profile_images/850023968484368386/jBcIv7W1_normal.jpg,40288,28096,290775,2297,2
FakharZamanLive,3304925983,human,Fakhar Zaman,True,2015-08-03 06:31:58+00:00,1329807,266,1005,3512,400,154,پاکستان,False,https://pbs.twimg.com/profile_images/1566729923317874690/adegJmMK_normal.jpg,20073,48259,976094,2904,2
laplace2011,229389391,human,Devrim Akyıl Laplace’s Demon,False,2010-12-22 08:23:27+00:00,173738,776,29647,31366,840,2105,,False,https://pbs.twimg.com/profile_images/1143436884905005056/4jGa9MVy_normal.jpg,1273,807,21511,22,2
data_optimist,1475101296520830982,human,Vyacheslav Masalitin,False,2021-12-26 13:49:42+00:00,28,408,271,1041,6,4,,False,https://pbs.twimg.com/profile_images/1475141656601112588/6gll8Oxz_normal.jpg,9,4,63,1,2
SCHMITMULER,1459787141928660998,human,SCHMIT MÜLLER,False,2021-11-14 07:36:08+00:00,48,695,555,113,16,0,🏳,True,https://pbs.twimg.com/profile_images/1498201808484933632/4o_47NKB_normal.jpg,0,0,0,0,0
KristinaJeromin,871016931213619200,human,Kristina Jeromin,False,2017-06-03 14:53:13+00:00,1727,1231,666,1512,37,62,,False,https://pbs.twimg.com/profile_images/1551607413198954497/zO827l9T_normal.jpg,65,173,1098,22,1
Wajihabdelwahd0,771758047412748288,human,د. عبد الواحد وجيه,False,2016-09-02 17:13:51+00:00,2654,301,127,754,3,64,,False,https://pbs.twimg.com/profile_images/1576805208725798914/z7O6skfc_normal.jpg,111,277,1386,9,2
pharmcologygeek,1482043516620525579,human,geek girl,False,2022-01-14 17:35:04+00:00,1,23,3,4,0,2,,False,https://pbs.twimg.com/profile_images/1510960907991531526/N2VcTVek_normal.jpg,0,0,2,0,1
EkanshVerma12,933227158398386182,human,Ekansh Verma,False,2017-11-22 06:54:27+00:00,79,849,302,5529,0,2,"Bengaluru, India",False,https://pbs.twimg.com/profile_images/1336262286256685058/eIqzF1UV_normal.jpg,7,0,38,1,3
AndresPlazaR,49009937,human,Andres Plaza 🇨🇱,False,2009-06-20 13:48:35+00:00,1139,1045,35011,106716,48,1249,USA,False,https://pbs.twimg.com/profile_images/1354597466625241097/ezaDo539_normal.jpg,95,93,1434,8,2
itorres75101909,1360303708777635844,human,IT,False,2021-02-12 19:07:13+00:00,64,801,13871,22,0,62,,False,https://pbs.twimg.com/profile_images/1465016224618885126/LIpwTHZO_normal.jpg,2,5,7,0,1
DanielDombeck,1433818532215730176,human,Daniel A Dombeck,False,2021-09-03 15:48:00+00:00,823,200,82,206,8,0,,False,https://pbs.twimg.com/profile_images/1433819831007055874/Y2pjzudG_normal.jpg,16,110,575,7,1
AJMcAVPE,1484114013566943232,human,AJ McAuliffe,False,2022-01-20 10:42:31+00:00,0,19,0,1,0,0,,False,https://pbs.twimg.com/profile_images/1484114111151673344/PIbxR6k3_normal.png,0,0,0,0,0
aniediudo,196278935,human,Aniedi,False,2010-09-28 19:11:40+00:00,24293,2725,12874,29060,209,1311,,False,https://pbs.twimg.com/profile_images/1569753773664501760/RD9PRUoM_normal.jpg,269,541,2145,28,2
IreneTrochu,1457083371146915842,human,Irène TROCHU,False,2021-11-06 20:32:19+00:00,3,14,0,3,0,0,,False,https://pbs.twimg.com/profile_images/1457083445256011778/-9RXVvpU_normal.jpg,0,0,0,0,0
rei_akaishi,731478516181565440,human,Rei Akaishi,False,2016-05-14 13:37:23+00:00,2768,2552,12692,14550,36,60,Earth,False,https://pbs.twimg.com/profile_images/747971601036021760/sTmNnMbJ_normal.jpg,33,157,746,17,3
liviatortella,383950602,human,Livia Tortella,False,2011-10-02 20:08:27+00:00,1989,989,1095,54,38,146,"Los Angeles, CA",False,https://pbs.twimg.com/profile_images/963514024087445504/K8k1bNAr_normal.jpg,49,84,253,0,9
Shervyn,13439042,human,Shervyn,False,2008-02-13 17:12:19+00:00,479,1105,58354,37022,38,2404,Lenni Lanape Land,True,https://pbs.twimg.com/profile_images/1458176859624153102/rPmbFOLE_normal.jpg,0,0,0,0,0
ZhijingJin,1009495181882773506,human,Zhijing Jin@EMNLP Abu Dhabi,False,2018-06-20 17:56:21+00:00,1756,840,206,402,20,28,"Zurich, Switzerland",False,https://pbs.twimg.com/profile_images/1422992118390435850/Hy_TdZ1N_normal.jpg,89,293,2623,31,2
PamRucinque,73710441,human,sPam Rucinque,False,2009-09-12 19:04:33+00:00,579,1007,4139,6084,25,273,"Melbourne, VIC",False,https://pbs.twimg.com/profile_images/744771258785505280/ARV9d1Dc_normal.jpg,49,11,150,1,2
MeaganMartin89,542721191,human,Meagan Martin,True,2012-04-01 17:45:46+00:00,20401,158,2365,4576,119,169,,False,https://pbs.twimg.com/profile_images/619340537074708480/1S9U-RZg_normal.jpg,48,44,1067,0,2
SustainOSS,820367095120547841,human,Sustain Open Source,False,2017-01-14 20:28:51+00:00,2441,188,1293,826,59,78,Earth,False,https://pbs.twimg.com/profile_images/1026548903900995584/IzfNbvt5_normal.jpg,18,420,606,73,3
kingginggang,2337471864,human,깅강,False,2014-02-11 00:40:37+00:00,9,453,10185,5389,2,0,,False,https://pbs.twimg.com/profile_images/1549615988072583168/T0VcSo61_normal.jpg,0,0,0,0,2
Synapsethegreat,1074322006445883392,human,SynapseTheGreat,False,2018-12-16 15:15:01+00:00,5171,732,6506,3937,0,227,,False,https://pbs.twimg.com/profile_images/1433727279436345344/zb-1mc99_normal.jpg,96,685,823,15,1
HBSRock,73125667,human,HBS Rock Center for Entrepreneurship,False,2009-09-10 14:16:18+00:00,9687,1085,3135,1746,291,331,"Boston, MA",False,https://pbs.twimg.com/profile_images/1478032613562626052/ErdgG9Ob_normal.jpg,32,168,392,18,2
howardfrumkin,374208504,human,Howard Frumkin,False,2011-09-15 22:13:33+00:00,2252,235,631,379,55,49,Seattle,False,https://pbs.twimg.com/profile_images/1616008209/Frumkin_Howard_normal.jpg,54,265,1012,49,3
AlagaSoji,1484088723730055170,human,Soji Alaga,False,2022-01-20 09:02:56+00:00,194,691,11,3,0,1,"Lagos, Nigeria",False,https://pbs.twimg.com/profile_images/1487338549125038085/jm-Anfgf_normal.jpg,0,0,3,0,1
101EclectriCars,1331028521649537025,human,101 eclectric cars,False,2020-11-24 00:15:17+00:00,5,113,5,0,0,5,,False,https://pbs.twimg.com/profile_images/1331029216373084161/ofM5jCJK_normal.jpg,0,0,1,0,1
JeetuMakhija6,1031077915188846594,human,Jeetu Makhija,False,2018-08-19 07:18:26+00:00,83,247,453,5936,0,159,"Mumbai, India",False,https://pbs.twimg.com/profile_images/1510447567468859400/uzGWwgI0_normal.jpg,20,14,258,1,1
OlonodeH,1162025098230095872,human,lumpur,False,2019-08-15 15:35:47+00:00,138,771,271,262,0,3,,False,https://pbs.twimg.com/profile_images/1318783383187689472/POlJNTHB_normal.jpg,4,1,3,0,1
BANDACHIVA,98804784,human,EDGAR AGUIRRE,False,2009-12-23 05:24:12+00:00,182,3390,2238,4117,1,16,guadalajara,False,https://pbs.twimg.com/profile_images/570296711823761408/jetGdiEe_normal.jpeg,21,4,20,3,2
Cubeware,35708687,bot,Cubeware,False,2009-04-27 09:44:25+00:00,1342,1992,2026,171,52,680,"Munich, Germany",False,https://pbs.twimg.com/profile_images/1582992151994322950/sywEFvOP_normal.jpg,1,3,19,0,1
tanishkumar74,1290233331683008512,human,Tanishkumar74,False,2020-08-03 10:32:14+00:00,1,61,31,126,0,6,,False,https://pbs.twimg.com/profile_images/1303275956828659712/QL6Azi-x_normal.jpg,0,0,12,0,1
TechnicallyPHL,20813318,human,Technical.ly Philly,False,2009-02-13 22:28:16+00:00,28588,2218,45571,5302,1124,12574,"Philadelphia, PA",False,https://pbs.twimg.com/profile_images/3786119484/886aa3b25353e8bfff38623f32fbd994_normal.png,20,104,224,24,3
harishater,859714501331038208,human,👑 هــــــری شاطر 👑,False,2017-05-03 10:21:24+00:00,16550,14651,35737,47861,9,2394,,False,https://pbs.twimg.com/profile_images/1605710887247134720/rWXUUfrV_normal.jpg,52,42,469,2,2
3weed_,1009804608540200960,human,Ahmed Eweed 🇪🇬,False,2018-06-21 14:25:54+00:00,169,310,360,1365,2,51,"Giza, Egypt",False,https://pbs.twimg.com/profile_images/1084001173517021189/WBPx3Hm4_normal.jpg,62,4,95,1,1
fdbhumi_bhumika,1483049550764187648,human,Bhumika,False,2022-01-17 12:12:48+00:00,6,131,0,52,0,0,,False,https://pbs.twimg.com/profile_images/1483060419132792834/qLdhKCd9_normal.jpg,0,0,0,0,0
DariaValles,280747022,human,Daria Valles,False,2011-04-11 23:23:39+00:00,907,220,2200,204,10,84,Rhode Island,False,https://pbs.twimg.com/profile_images/378800000397560644/1dc821b71f0e0bdc10dbaf18ac65a376_normal.jpeg,2,4,38,0,1
PamLongCO,1320503149816328192,human,Pam Long,False,2020-10-25 23:11:57+00:00,32433,607,4952,5692,118,579,,False,https://pbs.twimg.com/profile_images/1585392761062031360/L7oK3Vrm_normal.jpg,143,130,1473,10,1
somedevil8498,1438341642,bot,Jim,False,2013-05-18 13:11:55+00:00,32,487,42,44,0,3,,False,https://pbs.twimg.com/profile_images/887870911877140480/fzPU4Ux__normal.jpg,4,3,29,0,1
DrSmartyPants50,1360768923814264832,bot,Science Nerd 42,False,2021-02-14 01:53:00+00:00,21,4960,0,0,8,0,New York City,False,https://pbs.twimg.com/profile_images/1564845197569232896/SsI92VKI_normal.jpg,0,0,0,0,0
KatyJayne101,1192861100804575234,human,Katy,False,2019-11-08 17:47:16+00:00,41543,35204,32526,119153,48,147,God's Own Country,False,https://pbs.twimg.com/profile_images/1554045412637556737/HwZftZB3_normal.jpg,953,5120,23276,221,2
jamildallal,241877255,human,Jamil Dallal,False,2011-01-23 10:45:43+00:00,7933,5462,61810,2248,71,630,,False,https://pbs.twimg.com/profile_images/634103830397894656/e9908_FG_normal.jpg,32,36,105,5,3
nattiyak,58880930,human,Nattiya Kanhabua,False,2009-07-21 18:49:08+00:00,589,519,1049,120,48,20,Thailand,False,https://pbs.twimg.com/profile_images/1395210363424043015/jOTkWe1w_normal.jpg,15,148,202,2,7
hedbanger,621310858,human,Duder,False,2012-06-28 21:01:11+00:00,40,642,519,1000,17,101,,False,https://pbs.twimg.com/profile_images/1480067841311313920/jmpC_A_7_normal.jpg,11,2,502,2,1
Nduzzt,86020763,human,bernardinus,False,2009-10-29 08:21:28+00:00,92,97,189,2,3,1,Indonesia,False,https://pbs.twimg.com/profile_images/3496834584/3ad26f52928af4be43a1248041192a48_normal.jpeg,17,0,1,0,10
fedupofwm,1353063402160099335,human,Fedupofwm,False,2021-01-23 19:34:20+00:00,2462,3216,52984,32473,4,4200,,False,https://pbs.twimg.com/profile_images/1596173889499013123/nSO2G2Ir_normal.jpg,57,23,127,1,1
evaschulz,15918780,human,Eva Schulz,True,2008-08-20 15:33:30+00:00,41889,1063,13396,22318,382,2491,Berlin,False,https://pbs.twimg.com/profile_images/1326088492955398144/HzM6cYtr_normal.jpg,209,1213,16777,62,2
migballesteros,256644046,human,Miguel Ballesteros,False,2011-02-23 19:34:16+00:00,2616,1710,1132,6782,48,25,"New York, USA; Madrid, Spain",False,https://pbs.twimg.com/profile_images/1601143564330684416/r9_wftKc_normal.jpg,66,54,611,5,2
MikePearce17,1116393937449697280,human,Mike Pearce,False,2019-04-11 17:33:51+00:00,181,391,2547,8333,0,43,"East Midlands, England",False,https://pbs.twimg.com/profile_images/1479342625115324416/iw9pHBfV_normal.jpg,11,27,219,1,1
Marco_Coratolo,1076116243265060864,human,Marco Asta Coratolo,False,2018-12-21 14:04:40+00:00,443,2270,80,599,10,16,"Milano, Italy",False,https://pbs.twimg.com/profile_images/1076117536561872903/0aTaZOue_normal.jpg,9,25,77,1,3
viragoza,1395509316753534987,human,CRPTO VIRAGOZA,False,2021-05-20 22:38:45+00:00,676,3789,4,6733,3,4,,False,https://pbs.twimg.com/profile_images/1395509699844448258/nAyCaK4G_normal.jpg,0,0,0,0,0
declanganley,22396466,human,Declan Ganley,False,2009-03-01 19:34:31+00:00,21852,598,66870,25417,308,2610,County Galway. ,False,https://pbs.twimg.com/profile_images/1589285819084308482/IjBkuZSJ_normal.jpg,250,151,1678,17,3
EverydayHealth,17393790,human,Everyday Health,True,2008-11-14 19:35:49+00:00,626254,5398,147386,16903,5100,29463,United States,False,https://pbs.twimg.com/profile_images/1410587653255446529/nieAztWq_normal.jpg,22,94,309,8,3
TheInfoInn,832271187019444224,human,The Information Inn,False,2017-02-16 16:51:28+00:00,44,40,226,205,2,18,Trinidad and Tobago,False,https://pbs.twimg.com/profile_images/955575136274534400/bEVRZ5dL_normal.jpg,9,49,127,4,6
owen_strand,816040326112706566,human,Owen Strand,False,2017-01-02 21:55:49+00:00,5,5,234,155,0,58,Earth,True,https://pbs.twimg.com/profile_images/816044468692512769/Pz03wTrf_normal.jpg,0,0,0,0,0
dogmother_,1344562598776250369,bot,tanushri,False,2020-12-31 08:34:50+00:00,591,411,2903,13624,0,149,,False,https://pbs.twimg.com/profile_images/1597901637003399168/wj-W8dEb_normal.jpg,52,21,491,3,2
TylerW13,2939998182,human,Tyler Wells,True,2014-12-22 22:30:59+00:00,2656,321,3031,27055,41,52,,False,https://pbs.twimg.com/profile_images/1599854442207186956/0DBZxYSW_normal.jpg,342,795,14556,37,3
phillipstroebel,3082871337,human,Phillip Ströbel 🇺🇦,False,2015-03-10 01:07:59+00:00,287,312,569,582,13,59,"Winterthur, Switzerland",False,https://pbs.twimg.com/profile_images/1222832137075941376/xb3X9IZ-_normal.jpg,48,44,247,3,2
arthurangelici,2502990367,human,Arthur Angelici,False,2014-05-18 01:17:11+00:00,145,800,1459,10871,2,149,,False,https://pbs.twimg.com/profile_images/1038142665190195207/Q-flud-x_normal.jpg,44,0,99,0,2
Michael98949303,1484148791322320899,human,Michael Anderson,False,2022-01-20 13:00:51+00:00,1,72,0,3,0,0,,False,https://pbs.twimg.com/profile_images/1484148920829808644/vfJQDPCL_normal.png,0,0,0,0,0
BorhadeShubham,310784514,bot,Voiceofshubham,False,2011-06-04 10:26:37+00:00,10,5,23,55,0,6,India,False,https://pbs.twimg.com/profile_images/1494757915479085059/VcWjcV0p_normal.jpg,5,0,7,0,2
Alhassa13553164,1004440668763230210,human,Alhassan 🇦🇷,False,2018-06-06 19:11:31+00:00,167,298,121,1737,0,6,Egypt,False,https://pbs.twimg.com/profile_images/1592588520643874837/tjZE4lSq_normal.jpg,38,4,456,4,1
emtseng,368644797,human,Emily is wearing a mask,False,2011-09-06 00:15:18+00:00,2024,1534,1961,23382,59,47,"Brooklyn, NY",True,https://pbs.twimg.com/profile_images/1101922480988524545/14AVKFdK_normal.png,0,0,0,0,0
CryptoZeybek,2543789822,human,Crypto Zeybek,False,2014-06-03 15:42:27+00:00,112438,90,17371,36237,50,582,,False,https://pbs.twimg.com/profile_images/1461024024620896260/2wNYW55Y_normal.jpg,380,2014,11765,27,2
KUT,13678962,human,KUT Austin,True,2008-02-19 16:52:57+00:00,110007,1814,57479,4187,2123,6463,"Austin, Texas",False,https://pbs.twimg.com/profile_images/887021634447593472/izX6zx3o_normal.jpg,83,291,908,57,2
patrickc,4939401,human,Patrick Collison,True,2007-04-17 01:46:27+00:00,393059,30,9061,25247,5254,798,patrick@stripe.com,False,https://pbs.twimg.com/profile_images/825622525342199809/_iAaSUQf_normal.jpg,1689,3024,34558,731,1
taraz_aurox,1369074723896786948,human,Taraz | Aurox,False,2021-03-08 23:57:11+00:00,1309,179,156,180,8,1,,False,https://pbs.twimg.com/profile_images/1369078437508386817/BfZFvIzM_normal.jpg,36,106,408,5,2
NoraMartinHall,18890724,human,Nora MaHa,False,2009-01-12 04:02:15+00:00,697,374,6499,6584,12,864,Laniakea Supercluster,False,https://pbs.twimg.com/profile_images/1391562928172589057/W-2HYv2p_normal.jpg,50,10,490,2,1
adesphur,118009649,human,Remi,False,2010-02-27 09:08:56+00:00,1122,1022,16698,8477,1,608,United States,False,https://pbs.twimg.com/profile_images/1573070698196738056/mXrscOWs_normal.jpg,28,21,44,4,1
noorseijdel,1863061536,human,Noor Seijdel,False,2013-09-14 08:18:14+00:00,418,895,125,969,1,7,"Amsterdam, Nederland",False,https://pbs.twimg.com/profile_images/1014431075681144832/rOOTFP5E_normal.jpg,23,99,325,6,3
Jess4genes,1268970866085441543,human,Jessica Pfleger,False,2020-06-05 18:20:29+00:00,577,483,260,605,5,36,"Roanoke, VA",False,https://pbs.twimg.com/profile_images/1429790958145712135/7RrJ7-7-_normal.jpg,39,91,1023,8,1
sirbayes,788533935886077952,human,Kevin Patrick Murphy,False,2016-10-19 00:15:15+00:00,20405,164,266,1147,174,22,,False,https://pbs.twimg.com/profile_images/1346948649603846145/eFBHivR2_normal.jpg,229,1821,11587,116,3
rdcssScottsboro,806609267985891328,human,RDCSS,False,2016-12-07 21:20:10+00:00,11,20,30,33,0,1,"Scottsboro, AL",False,https://pbs.twimg.com/profile_images/1247576956025081856/yJLiSkmI_normal.jpg,3,1,8,0,3
BatsouElef,757327643826094080,human,Eleftheria Batsou,False,2016-07-24 21:32:35+00:00,38795,641,26638,85934,352,1253,topmate.io/eleftheriabatsou,False,https://pbs.twimg.com/profile_images/1478258494100938755/_nJrSQTx_normal.jpg,332,40,903,5,2
multishow,9604032,human,Multishow,True,2007-10-22 19:08:06+00:00,7375634,473,361775,23331,4424,286118,,False,https://pbs.twimg.com/profile_images/1600981587558125581/U0hpq1CP_normal.jpg,1983,3700,35793,1962,5
